id,name
GO:0000354,cis assembly of pre-catalytic spliceosome
GO:0000375,"RNA splicing, via transesterification reactions"
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"
GO:0000379,tRNA-type intron splice site recognition and cleavage
GO:0000380,"alternative mRNA splicing, via spliceosome"
GO:0000381,"regulation of alternative mRNA splicing, via spliceosome"
GO:0000387,spliceosomal snRNP assembly
GO:0000389,mRNA 3'-splice site recognition
GO:0000393,spliceosomal conformational changes to generate catalytic conformation
GO:0000394,"RNA splicing, via endonucleolytic cleavage and ligation"
GO:0000395,mRNA 5'-splice site recognition
GO:0000398,"mRNA splicing, via spliceosome"
GO:0000413,protein peptidyl-prolyl isomerization
GO:0000414,regulation of histone H3-K36 methylation
GO:0000422,mitophagy
GO:0000423,macromitophagy
GO:0000429,carbon catabolite regulation of transcription from RNA polymerase II promoter
GO:0000430,regulation of transcription from RNA polymerase II promoter by glucose
GO:0000432,positive regulation of transcription from RNA polymerase II promoter by glucose
GO:0000436,carbon catabolite activation of transcription from RNA polymerase II promoter
GO:0000447,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000448,"cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000451,rRNA 2'-O-methylation
GO:0000453,enzyme-directed rRNA 2'-O-methylation
GO:0000459,exonucleolytic trimming involved in rRNA processing
GO:0000460,maturation of 5.8S rRNA
GO:0000461,"endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000463,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000466,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000467,"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000469,cleavage involved in rRNA processing
GO:0000470,maturation of LSU-rRNA
GO:0000472,"endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000478,endonucleolytic cleavage involved in rRNA processing
GO:0000479,"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000480,"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000491,small nucleolar ribonucleoprotein complex assembly
GO:0000492,box C/D snoRNP assembly
GO:0000578,embryonic axis specification
GO:0000707,meiotic DNA recombinase assembly
GO:0000711,meiotic DNA repair synthesis
GO:0000712,resolution of meiotic recombination intermediates
GO:0000715,"nucleotide-excision repair, DNA damage recognition"
GO:0000720,pyrimidine dimer repair by nucleotide-excision repair
GO:0000722,telomere maintenance via recombination
GO:0000723,telomere maintenance
GO:0000724,double-strand break repair via homologous recombination
GO:0000725,recombinational repair
GO:0000726,non-recombinational repair
GO:0000727,double-strand break repair via break-induced replication
GO:0000729,DNA double-strand break processing
GO:0000730,DNA recombinase assembly
GO:0000731,DNA synthesis involved in DNA repair
GO:0000733,DNA strand renaturation
GO:0000737,"DNA catabolic process, endonucleolytic"
GO:0000738,"DNA catabolic process, exonucleolytic"
GO:0000768,syncytium formation by plasma membrane fusion
GO:0000819,sister chromatid segregation
GO:0000820,regulation of glutamine family amino acid metabolic process
GO:0000821,regulation of arginine metabolic process
GO:0000904,cell morphogenesis involved in differentiation
GO:0000910,cytokinesis
GO:0000917,barrier septum assembly
GO:0000920,cell separation after cytokinesis
GO:0000956,nuclear-transcribed mRNA catabolic process
GO:0000957,mitochondrial RNA catabolic process
GO:0000958,mitochondrial mRNA catabolic process
GO:0000959,mitochondrial RNA metabolic process
GO:0000960,regulation of mitochondrial RNA catabolic process
GO:0000961,negative regulation of mitochondrial RNA catabolic process
GO:0000962,positive regulation of mitochondrial RNA catabolic process
GO:0000963,mitochondrial RNA processing
GO:0000964,mitochondrial RNA 5'-end processing
GO:0000965,mitochondrial RNA 3'-end processing
GO:0000966,RNA 5'-end processing
GO:0000967,rRNA 5'-end processing
GO:0000972,transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery
GO:0000973,posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery
GO:0001101,response to acid chemical
GO:0001172,"transcription, RNA-templated"
GO:0001180,transcription initiation from RNA polymerase I promoter for nuclear large rRNA transcript
GO:0001188,RNA polymerase I transcriptional preinitiation complex assembly
GO:0001189,RNA polymerase I transcriptional preinitiation complex assembly at the promoter for the nuclear large rRNA transcript
GO:0001300,chronological cell aging
GO:0001302,replicative cell aging
GO:0001306,age-dependent response to oxidative stress
GO:0001501,skeletal system development
GO:0001502,cartilage condensation
GO:0001503,ossification
GO:0001504,neurotransmitter uptake
GO:0001505,regulation of neurotransmitter levels
GO:0001507,acetylcholine catabolic process in synaptic cleft
GO:0001508,action potential
GO:0001510,RNA methylation
GO:0001514,selenocysteine incorporation
GO:0001516,prostaglandin biosynthetic process
GO:0001519,peptide amidation
GO:0001522,pseudouridine synthesis
GO:0001523,retinoid metabolic process
GO:0001525,angiogenesis
GO:0001539,cilium or flagellum-dependent cell motility
GO:0001541,ovarian follicle development
GO:0001542,ovulation from ovarian follicle
GO:0001543,ovarian follicle rupture
GO:0001546,preantral ovarian follicle growth
GO:0001547,antral ovarian follicle growth
GO:0001550,ovarian cumulus expansion
GO:0001552,ovarian follicle atresia
GO:0001553,luteinization
GO:0001554,luteolysis
GO:0001555,oocyte growth
GO:0001556,oocyte maturation
GO:0001558,regulation of cell growth
GO:0001560,regulation of cell growth by extracellular stimulus
GO:0001561,fatty acid alpha-oxidation
GO:0001562,response to protozoan
GO:0001568,blood vessel development
GO:0001569,patterning of blood vessels
GO:0001570,vasculogenesis
GO:0001573,ganglioside metabolic process
GO:0001574,ganglioside biosynthetic process
GO:0001575,globoside metabolic process
GO:0001578,microtubule bundle formation
GO:0001579,medium-chain fatty acid transport
GO:0001580,detection of chemical stimulus involved in sensory perception of bitter taste
GO:0001581,detection of chemical stimulus involved in sensory perception of sour taste
GO:0001582,detection of chemical stimulus involved in sensory perception of sweet taste
GO:0001649,osteoblast differentiation
GO:0001654,eye development
GO:0001655,urogenital system development
GO:0001656,metanephros development
GO:0001657,ureteric bud development
GO:0001658,branching involved in ureteric bud morphogenesis
GO:0001659,temperature homeostasis
GO:0001660,fever generation
GO:0001661,conditioned taste aversion
GO:0001662,behavioral fear response
GO:0001666,response to hypoxia
GO:0001667,ameboidal-type cell migration
GO:0001672,regulation of chromatin assembly or disassembly
GO:0001675,acrosome assembly
GO:0001676,long-chain fatty acid metabolic process
GO:0001678,cellular glucose homeostasis
GO:0001692,histamine metabolic process
GO:0001694,histamine biosynthetic process
GO:0001696,gastric acid secretion
GO:0001701,in utero embryonic development
GO:0001702,gastrulation with mouth forming second
GO:0001704,formation of primary germ layer
GO:0001705,ectoderm formation
GO:0001706,endoderm formation
GO:0001707,mesoderm formation
GO:0001708,cell fate specification
GO:0001709,cell fate determination
GO:0001710,mesodermal cell fate commitment
GO:0001711,endodermal cell fate commitment
GO:0001712,ectodermal cell fate commitment
GO:0001714,endodermal cell fate specification
GO:0001731,formation of translation preinitiation complex
GO:0001732,formation of cytoplasmic translation initiation complex
GO:0001736,establishment of planar polarity
GO:0001738,morphogenesis of a polarized epithelium
GO:0001743,optic placode formation
GO:0001754,eye photoreceptor cell differentiation
GO:0001755,neural crest cell migration
GO:0001756,somitogenesis
GO:0001757,somite specification
GO:0001759,organ induction
GO:0001763,morphogenesis of a branching structure
GO:0001764,neuron migration
GO:0001765,membrane raft assembly
GO:0001766,membrane raft polarization
GO:0001767,establishment of lymphocyte polarity
GO:0001768,establishment of T cell polarity
GO:0001771,immunological synapse formation
GO:0001773,myeloid dendritic cell activation
GO:0001774,microglial cell activation
GO:0001775,cell activation
GO:0001776,leukocyte homeostasis
GO:0001778,plasma membrane repair
GO:0001779,natural killer cell differentiation
GO:0001780,neutrophil homeostasis
GO:0001781,neutrophil apoptotic process
GO:0001782,B cell homeostasis
GO:0001783,B cell apoptotic process
GO:0001796,regulation of type IIa hypersensitivity
GO:0001798,positive regulation of type IIa hypersensitivity
GO:0001807,regulation of type IV hypersensitivity
GO:0001808,negative regulation of type IV hypersensitivity
GO:0001810,regulation of type I hypersensitivity
GO:0001812,positive regulation of type I hypersensitivity
GO:0001816,cytokine production
GO:0001817,regulation of cytokine production
GO:0001818,negative regulation of cytokine production
GO:0001819,positive regulation of cytokine production
GO:0001820,serotonin secretion
GO:0001821,histamine secretion
GO:0001822,kidney development
GO:0001823,mesonephros development
GO:0001824,blastocyst development
GO:0001825,blastocyst formation
GO:0001826,inner cell mass cell differentiation
GO:0001827,inner cell mass cell fate commitment
GO:0001828,inner cell mass cellular morphogenesis
GO:0001829,trophectodermal cell differentiation
GO:0001831,trophectodermal cellular morphogenesis
GO:0001832,blastocyst growth
GO:0001833,inner cell mass cell proliferation
GO:0001834,trophectodermal cell proliferation
GO:0001835,blastocyst hatching
GO:0001836,release of cytochrome c from mitochondria
GO:0001837,epithelial to mesenchymal transition
GO:0001838,embryonic epithelial tube formation
GO:0001839,neural plate morphogenesis
GO:0001840,neural plate development
GO:0001841,neural tube formation
GO:0001842,neural fold formation
GO:0001843,neural tube closure
GO:0001844,protein insertion into mitochondrial membrane involved in apoptotic signaling pathway
GO:0001845,phagolysosome assembly
GO:0001865,NK T cell differentiation
GO:0001866,NK T cell proliferation
GO:0001867,"complement activation, lectin pathway"
GO:0001868,"regulation of complement activation, lectin pathway"
GO:0001869,"negative regulation of complement activation, lectin pathway"
GO:0001878,response to yeast
GO:0001880,Mullerian duct regression
GO:0001881,receptor recycling
GO:0001885,endothelial cell development
GO:0001886,endothelial cell morphogenesis
GO:0001887,selenium compound metabolic process
GO:0001889,liver development
GO:0001890,placenta development
GO:0001892,embryonic placenta development
GO:0001893,maternal placenta development
GO:0001894,tissue homeostasis
GO:0001895,retina homeostasis
GO:0001897,cytolysis by symbiont of host cells
GO:0001906,cell killing
GO:0001907,killing by symbiont of host cells
GO:0001909,leukocyte mediated cytotoxicity
GO:0001910,regulation of leukocyte mediated cytotoxicity
GO:0001911,negative regulation of leukocyte mediated cytotoxicity
GO:0001912,positive regulation of leukocyte mediated cytotoxicity
GO:0001913,T cell mediated cytotoxicity
GO:0001914,regulation of T cell mediated cytotoxicity
GO:0001915,negative regulation of T cell mediated cytotoxicity
GO:0001916,positive regulation of T cell mediated cytotoxicity
GO:0001919,regulation of receptor recycling
GO:0001920,negative regulation of receptor recycling
GO:0001921,positive regulation of receptor recycling
GO:0001922,B-1 B cell homeostasis
GO:0001923,B-1 B cell differentiation
GO:0001927,exocyst assembly
GO:0001933,negative regulation of protein phosphorylation
GO:0001934,positive regulation of protein phosphorylation
GO:0001935,endothelial cell proliferation
GO:0001936,regulation of endothelial cell proliferation
GO:0001937,negative regulation of endothelial cell proliferation
GO:0001938,positive regulation of endothelial cell proliferation
GO:0001941,postsynaptic membrane organization
GO:0001942,hair follicle development
GO:0001944,vasculature development
GO:0001945,lymph vessel development
GO:0001946,lymphangiogenesis
GO:0001947,heart looping
GO:0001951,intestinal D-glucose absorption
GO:0001952,regulation of cell-matrix adhesion
GO:0001953,negative regulation of cell-matrix adhesion
GO:0001954,positive regulation of cell-matrix adhesion
GO:0001955,blood vessel maturation
GO:0001956,positive regulation of neurotransmitter secretion
GO:0001957,intramembranous ossification
GO:0001958,endochondral ossification
GO:0001959,regulation of cytokine-mediated signaling pathway
GO:0001960,negative regulation of cytokine-mediated signaling pathway
GO:0001961,positive regulation of cytokine-mediated signaling pathway
GO:0001963,"synaptic transmission, dopaminergic"
GO:0001964,startle response
GO:0001967,suckling behavior
GO:0001969,regulation of activation of membrane attack complex
GO:0001970,positive regulation of activation of membrane attack complex
GO:0001973,adenosine receptor signaling pathway
GO:0001974,blood vessel remodeling
GO:0001975,response to amphetamine
GO:0001976,neurological system process involved in regulation of systemic arterial blood pressure
GO:0001977,renal system process involved in regulation of blood volume
GO:0001978,regulation of systemic arterial blood pressure by carotid sinus baroreceptor feedback
GO:0001982,baroreceptor response to decreased systemic arterial blood pressure
GO:0001983,baroreceptor response to increased systemic arterial blood pressure
GO:0001990,regulation of systemic arterial blood pressure by hormone
GO:0001991,regulation of systemic arterial blood pressure by circulatory renin-angiotensin
GO:0001992,regulation of systemic arterial blood pressure by vasopressin
GO:0001993,regulation of systemic arterial blood pressure by norepinephrine-epinephrine
GO:0001994,norepinephrine-epinephrine vasoconstriction involved in regulation of systemic arterial blood pressure
GO:0001996,positive regulation of heart rate by epinephrine-norepinephrine
GO:0001997,positive regulation of the force of heart contraction by epinephrine-norepinephrine
GO:0001999,renal response to blood flow involved in circulatory renin-angiotensin regulation of systemic arterial blood pressure
GO:0002002,regulation of angiotensin levels in blood
GO:0002003,angiotensin maturation
GO:0002005,angiotensin catabolic process in blood
GO:0002009,morphogenesis of an epithelium
GO:0002011,morphogenesis of an epithelial sheet
GO:0002016,regulation of blood volume by renin-angiotensin
GO:0002017,regulation of blood volume by renal aldosterone
GO:0002018,renin-angiotensin regulation of aldosterone production
GO:0002019,regulation of renal output by angiotensin
GO:0002021,response to dietary excess
GO:0002023,reduction of food intake in response to dietary excess
GO:0002024,diet induced thermogenesis
GO:0002025,vasodilation by norepinephrine-epinephrine involved in regulation of systemic arterial blood pressure
GO:0002026,regulation of the force of heart contraction
GO:0002027,regulation of heart rate
GO:0002028,regulation of sodium ion transport
GO:0002029,desensitization of G-protein coupled receptor protein signaling pathway
GO:0002031,G-protein coupled receptor internalization
GO:0002032,desensitization of G-protein coupled receptor protein signaling pathway by arrestin
GO:0002034,regulation of blood vessel size by renin-angiotensin
GO:0002035,brain renin-angiotensin system
GO:0002036,regulation of L-glutamate transport
GO:0002040,sprouting angiogenesis
GO:0002041,intussusceptive angiogenesis
GO:0002042,cell migration involved in sprouting angiogenesis
GO:0002043,blood vessel endothelial cell proliferation involved in sprouting angiogenesis
GO:0002051,osteoblast fate commitment
GO:0002052,positive regulation of neuroblast proliferation
GO:0002053,positive regulation of mesenchymal cell proliferation
GO:0002062,chondrocyte differentiation
GO:0002063,chondrocyte development
GO:0002064,epithelial cell development
GO:0002065,columnar/cuboidal epithelial cell differentiation
GO:0002066,columnar/cuboidal epithelial cell development
GO:0002067,glandular epithelial cell differentiation
GO:0002068,glandular epithelial cell development
GO:0002069,columnar/cuboidal epithelial cell maturation
GO:0002070,epithelial cell maturation
GO:0002071,glandular epithelial cell maturation
GO:0002072,optic cup morphogenesis involved in camera-type eye development
GO:0002074,extraocular skeletal muscle development
GO:0002076,osteoblast development
GO:0002082,regulation of oxidative phosphorylation
GO:0002084,protein depalmitoylation
GO:0002085,inhibition of neuroepithelial cell differentiation
GO:0002086,diaphragm contraction
GO:0002087,regulation of respiratory gaseous exchange by neurological system process
GO:0002088,lens development in camera-type eye
GO:0002089,lens morphogenesis in camera-type eye
GO:0002090,regulation of receptor internalization
GO:0002091,negative regulation of receptor internalization
GO:0002092,positive regulation of receptor internalization
GO:0002093,auditory receptor cell morphogenesis
GO:0002097,tRNA wobble base modification
GO:0002098,tRNA wobble uridine modification
GO:0002115,store-operated calcium entry
GO:0002118,aggressive behavior
GO:0002121,inter-male aggressive behavior
GO:0002125,maternal aggressive behavior
GO:0002138,retinoic acid biosynthetic process
GO:0002143,tRNA wobble position uridine thiolation
GO:0002155,regulation of thyroid hormone mediated signaling pathway
GO:0002158,osteoclast proliferation
GO:0002159,desmosome assembly
GO:0002175,protein localization to paranode region of axon
GO:0002176,male germ cell proliferation
GO:0002181,cytoplasmic translation
GO:0002183,cytoplasmic translational initiation
GO:0002184,cytoplasmic translational termination
GO:0002190,cap-independent translational initiation
GO:0002192,IRES-dependent translational initiation
GO:0002200,somatic diversification of immune receptors
GO:0002204,somatic recombination of immunoglobulin genes involved in immune response
GO:0002208,somatic diversification of immunoglobulins involved in immune response
GO:0002209,behavioral defense response
GO:0002215,defense response to nematode
GO:0002218,activation of innate immune response
GO:0002220,innate immune response activating cell surface receptor signaling pathway
GO:0002221,pattern recognition receptor signaling pathway
GO:0002223,stimulatory C-type lectin receptor signaling pathway
GO:0002224,toll-like receptor signaling pathway
GO:0002225,positive regulation of antimicrobial peptide production
GO:0002227,innate immune response in mucosa
GO:0002228,natural killer cell mediated immunity
GO:0002230,positive regulation of defense response to virus by host
GO:0002232,leukocyte chemotaxis involved in inflammatory response
GO:0002237,response to molecule of bacterial origin
GO:0002238,response to molecule of fungal origin
GO:0002244,hematopoietic progenitor cell differentiation
GO:0002246,wound healing involved in inflammatory response
GO:0002248,connective tissue replacement involved in inflammatory response wound healing
GO:0002250,adaptive immune response
GO:0002251,organ or tissue specific immune response
GO:0002252,immune effector process
GO:0002253,activation of immune response
GO:0002254,kinin cascade
GO:0002260,lymphocyte homeostasis
GO:0002262,myeloid cell homeostasis
GO:0002263,cell activation involved in immune response
GO:0002266,follicular dendritic cell activation
GO:0002268,follicular dendritic cell differentiation
GO:0002274,myeloid leukocyte activation
GO:0002275,myeloid cell activation involved in immune response
GO:0002277,myeloid dendritic cell activation involved in immune response
GO:0002278,eosinophil activation involved in immune response
GO:0002279,mast cell activation involved in immune response
GO:0002281,macrophage activation involved in immune response
GO:0002282,microglial cell activation involved in immune response
GO:0002283,neutrophil activation involved in immune response
GO:0002285,lymphocyte activation involved in immune response
GO:0002286,T cell activation involved in immune response
GO:0002287,alpha-beta T cell activation involved in immune response
GO:0002291,T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell
GO:0002292,T cell differentiation involved in immune response
GO:0002293,alpha-beta T cell differentiation involved in immune response
GO:0002294,"CD4-positive, alpha-beta T cell differentiation involved in immune response"
GO:0002295,T-helper cell lineage commitment
GO:0002296,T-helper 1 cell lineage commitment
GO:0002302,"CD8-positive, alpha-beta T cell differentiation involved in immune response"
GO:0002309,T cell proliferation involved in immune response
GO:0002312,B cell activation involved in immune response
GO:0002313,mature B cell differentiation involved in immune response
GO:0002314,germinal center B cell differentiation
GO:0002315,marginal zone B cell differentiation
GO:0002317,plasma cell differentiation
GO:0002318,myeloid progenitor cell differentiation
GO:0002320,lymphoid progenitor cell differentiation
GO:0002322,B cell proliferation involved in immune response
GO:0002323,natural killer cell activation involved in immune response
GO:0002326,B cell lineage commitment
GO:0002327,immature B cell differentiation
GO:0002328,pro-B cell differentiation
GO:0002329,pre-B cell differentiation
GO:0002331,pre-B cell allelic exclusion
GO:0002335,mature B cell differentiation
GO:0002337,B-1a B cell differentiation
GO:0002339,B cell selection
GO:0002347,response to tumor cell
GO:0002349,histamine production involved in inflammatory response
GO:0002351,serotonin production involved in inflammatory response
GO:0002352,B cell negative selection
GO:0002353,plasma kallikrein-kinin cascade
GO:0002357,defense response to tumor cell
GO:0002358,B cell homeostatic proliferation
GO:0002360,T cell lineage commitment
GO:0002361,"CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation"
GO:0002363,alpha-beta T cell lineage commitment
GO:0002366,leukocyte activation involved in immune response
GO:0002367,cytokine production involved in immune response
GO:0002369,T cell cytokine production
GO:0002374,cytokine secretion involved in immune response
GO:0002377,immunoglobulin production
GO:0002378,immunoglobulin biosynthetic process
GO:0002381,immunoglobulin production involved in immunoglobulin mediated immune response
GO:0002384,hepatic immune response
GO:0002385,mucosal immune response
GO:0002386,immune response in mucosal-associated lymphoid tissue
GO:0002396,MHC protein complex assembly
GO:0002399,MHC class II protein complex assembly
GO:0002407,dendritic cell chemotaxis
GO:0002408,myeloid dendritic cell chemotaxis
GO:0002414,immunoglobulin transcytosis in epithelial cells
GO:0002415,immunoglobulin transcytosis in epithelial cells mediated by polymeric immunoglobulin receptor
GO:0002418,immune response to tumor cell
GO:0002426,immunoglobulin production in mucosal tissue
GO:0002428,antigen processing and presentation of peptide antigen via MHC class Ib
GO:0002429,immune response-activating cell surface receptor signaling pathway
GO:0002430,complement receptor mediated signaling pathway
GO:0002431,Fc receptor mediated stimulatory signaling pathway
GO:0002432,granuloma formation
GO:0002433,immune response-regulating cell surface receptor signaling pathway involved in phagocytosis
GO:0002437,inflammatory response to antigenic stimulus
GO:0002438,acute inflammatory response to antigenic stimulus
GO:0002439,chronic inflammatory response to antigenic stimulus
GO:0002440,production of molecular mediator of immune response
GO:0002441,histamine secretion involved in inflammatory response
GO:0002442,serotonin secretion involved in inflammatory response
GO:0002443,leukocyte mediated immunity
GO:0002444,myeloid leukocyte mediated immunity
GO:0002446,neutrophil mediated immunity
GO:0002447,eosinophil mediated immunity
GO:0002448,mast cell mediated immunity
GO:0002449,lymphocyte mediated immunity
GO:0002455,humoral immune response mediated by circulating immunoglobulin
GO:0002456,T cell mediated immunity
GO:0002457,T cell antigen processing and presentation
GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
GO:0002467,germinal center formation
GO:0002474,antigen processing and presentation of peptide antigen via MHC class I
GO:0002475,antigen processing and presentation via MHC class Ib
GO:0002476,antigen processing and presentation of endogenous peptide antigen via MHC class Ib
GO:0002477,antigen processing and presentation of exogenous peptide antigen via MHC class Ib
GO:0002478,antigen processing and presentation of exogenous peptide antigen
GO:0002479,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent"
GO:0002480,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent"
GO:0002481,"antigen processing and presentation of exogenous protein antigen via MHC class Ib, TAP-dependent"
GO:0002483,antigen processing and presentation of endogenous peptide antigen
GO:0002484,antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway
GO:0002485,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent"
GO:0002486,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent"
GO:0002488,antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway
GO:0002489,"antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway, TAP-dependent"
GO:0002495,antigen processing and presentation of peptide antigen via MHC class II
GO:0002501,peptide antigen assembly with MHC protein complex
GO:0002503,peptide antigen assembly with MHC class II protein complex
GO:0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
GO:0002505,antigen processing and presentation of polysaccharide antigen via MHC class II
GO:0002506,polysaccharide assembly with MHC class II protein complex
GO:0002507,tolerance induction
GO:0002513,tolerance induction to self antigen
GO:0002519,natural killer cell tolerance induction
GO:0002520,immune system development
GO:0002521,leukocyte differentiation
GO:0002522,leukocyte migration involved in immune response
GO:0002523,leukocyte migration involved in inflammatory response
GO:0002526,acute inflammatory response
GO:0002528,regulation of vascular permeability involved in acute inflammatory response
GO:0002532,production of molecular mediator involved in inflammatory response
GO:0002534,cytokine production involved in inflammatory response
GO:0002537,nitric oxide production involved in inflammatory response
GO:0002542,Factor XII activation
GO:0002543,activation of blood coagulation via clotting cascade
GO:0002544,chronic inflammatory response
GO:0002548,monocyte chemotaxis
GO:0002551,mast cell chemotaxis
GO:0002553,histamine secretion by mast cell
GO:0002554,serotonin secretion by platelet
GO:0002562,somatic diversification of immune receptors via germline recombination within a single locus
GO:0002566,somatic diversification of immune receptors via somatic mutation
GO:0002568,somatic diversification of T cell receptor genes
GO:0002572,pro-T cell differentiation
GO:0002573,myeloid leukocyte differentiation
GO:0002576,platelet degranulation
GO:0002577,regulation of antigen processing and presentation
GO:0002578,negative regulation of antigen processing and presentation
GO:0002579,positive regulation of antigen processing and presentation
GO:0002580,regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
GO:0002581,negative regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
GO:0002582,positive regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
GO:0002583,regulation of antigen processing and presentation of peptide antigen
GO:0002584,negative regulation of antigen processing and presentation of peptide antigen
GO:0002585,positive regulation of antigen processing and presentation of peptide antigen
GO:0002586,regulation of antigen processing and presentation of peptide antigen via MHC class II
GO:0002587,negative regulation of antigen processing and presentation of peptide antigen via MHC class II
GO:0002588,positive regulation of antigen processing and presentation of peptide antigen via MHC class II
GO:0002589,regulation of antigen processing and presentation of peptide antigen via MHC class I
GO:0002590,negative regulation of antigen processing and presentation of peptide antigen via MHC class I
GO:0002591,positive regulation of antigen processing and presentation of peptide antigen via MHC class I
